theta_A,theta_I,top,num_users,seed_size,user_id,user_A,user_I,targeted
0.9,2.3299000000000096,60,1,0,4505,0,2.0,False
0.9,2.3299000000000096,60,2,0,14238,0,1.6385,False
0.9,2.3299000000000096,60,3,0,7750,0,2.0,False
0.9,2.329799999999989,60,4,1,7352,1.0,3.609099999999997,True
0.9,2.329799999999989,60,5,1,4809,0,2.264600000000005,False
0.9,2.329599999999999,60,6,2,7777,1.0,2.4176000000000037,True
0.9,2.3290999999999973,60,7,3,596,1.0,5.326699999999998,True
0.9,2.328799999999999,60,8,4,5552,1.0,2.978800000000002,True
0.9,2.3287999999999967,60,9,5,11013,1.0,3.5864999999999903,True
0.9,2.3287999999999967,60,10,5,8737,0,2.0,False
0.9,2.3287000000000035,60,11,6,2190,1.0,2.409700000000008,True
0.9,2.3286999999999938,60,12,7,2796,1.0,12.921599999999996,True
0.9,2.3286999999999938,60,13,7,13800,0,1.9948000000000083,False
0.9,2.328699999999991,60,14,8,11983,1.0,2.6487999999999974,True
0.9,2.328699999999991,60,15,8,3452,0,1.9943999999999993,False
0.9,2.328699999999991,60,16,8,12748,0,2.0,False
0.9,2.328699999999991,60,17,8,2593,0,2.0,False
0.9,2.328699999999991,60,18,8,7468,0,1.6277999999999984,False
0.9,2.3285999999999873,60,19,9,8734,1.0,3.1099000000000045,True
0.9,2.3285000000000036,60,20,10,6456,1.0,6.0345999999999735,True
0.9,2.328500000000003,60,21,11,14112,1.0,2.465200000000002,True
0.9,2.328399999999986,60,22,12,3379,1.0,2.720800000000014,True
0.9,2.328099999999992,60,23,13,474,1.0,40.65269999999997,True
0.9,2.3280000000000034,60,24,14,496,1.0,2.8495999999999997,True
0.9,2.327700000000001,60,25,15,4381,1.0,3.6294000000000013,True
0.9,2.3276000000000012,60,26,16,12697,1.0,2.5691999999999835,True
0.9,2.3276000000000012,60,27,16,12319,0,2.0,False
0.9,2.327199999999994,60,28,17,621,1.0,7.567000000000035,True
0.9,2.327199999999994,60,29,17,458,0,1.6638,False
0.9,2.327199999999994,60,30,17,1786,0,1.684300000000001,False
0.9,2.327199999999994,60,31,17,12332,0,1.9949999999999957,False
0.9,2.327199999999994,60,32,17,3757,0,1.8969999999999987,False
0.9,2.3271000000000104,60,33,18,295,1.0,12.377799999999974,True
0.9,2.3266999999999993,60,34,19,3641,1.0,19.76109999999998,True
0.9,2.326399999999986,60,35,20,5883,1.0,2.865200000000003,True
0.9,2.3262000000000054,60,36,21,9575,1.0,2.400299999999992,True
0.9,2.3261999999999956,60,37,22,6017,1.0,2.8433999999999924,True
0.9,2.3260999999999954,60,38,23,11159,1.0,3.012699999999994,True
0.9,2.3259999999999907,60,39,24,8198,1.0,2.36959999999999,True
0.9,2.3258999999999967,60,40,25,11460,1.0,2.4034999999999873,True
